"","ID","ES1","ES2","ES3","ES4","ES5","ES6","ES7","ES8","UWES6","UWES9","UWES11","UWES15","UWES5","UWES7","UWES13","UWES2","UWES3","UWES4","UWES14","UWES17","ESA","UWES_direction","UWES_activation"
"1",1,1,1,1,1,1,2,2,1,4,5,4,4,4,3,4,3,3,3,4,4,10,17,28
"2",2,2,2,3,2,2,2,2,2,4,4,4,4,3,4,4,4,4,4,4,4,17,16,31
"3",3,2,2,2,2,2,2,1,2,6,6,6,5,6,5,4,5,6,6,4,6,15,23,42
"4",4,2,2,3,2,2,3,3,2,5,4,4,6,4,3,5,5,4,5,5,6,19,19,37
"5",5,3,2,2,2,2,2,3,2,3,5,5,4,2,4,4,4,4,3,3,4,18,17,28
"6",6,2,2,2,2,2,2,2,2,5,5,5,6,5,5,5,6,5,5,5,6,16,21,42
"7",7,3,3,2,2,2,2,2,2,6,6,6,6,4,4,5,4,3,3,5,6,18,24,34
"8",8,2,2,3,2,2,3,3,2,6,6,6,6,2,4,4,5,5,2,1,6,19,24,29
"9",9,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,16,16,32
"10",10,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,24,24,48
"11",11,3,3,3,3,3,3,3,3,6,6,6,6,6,5,6,6,6,6,6,6,24,24,47
"12",12,2,1,2,1,1,2,2,1,5,6,6,6,3,2,3,2,3,2,5,5,12,23,25
"13",13,2,2,2,2,1,1,2,1,5,5,5,5,5,5,5,4,5,5,5,5,13,20,39
"14",14,3,3,3,3,2,3,3,3,6,6,6,6,6,5,6,6,1,5,6,6,23,24,41
"15",15,2,2,2,2,2,2,2,2,6,6,6,6,5,3,5,6,6,3,5,6,16,24,39
"16",16,2,2,1,1,1,1,1,1,2,3,3,3,2,1,3,3,4,2,1,3,10,11,19
"17",17,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,16,16,32
"18",18,2,3,2,2,1,1,2,3,6,6,6,6,5,6,6,5,6,5,6,6,16,24,45
"19",19,1,1,1,1,1,1,1,1,3,4,4,3,3,2,3,3,3,2,3,4,8,14,23
"20",20,3,2,3,2,2,2,3,3,5,5,5,5,2,3,5,4,5,4,3,4,20,20,30
"21",21,3,2,2,2,2,2,1,2,6,6,6,6,6,6,5,6,6,6,6,6,16,24,47
"22",22,3,3,2,3,2,2,2,2,6,6,6,6,5,5,5,6,5,6,6,6,19,24,44
"23",23,3,3,3,3,3,3,3,3,6,6,6,6,5,5,4,6,5,3,4,6,24,24,38
"24",24,3,2,2,3,3,2,3,3,6,6,6,6,5,6,5,6,6,5,6,6,21,24,45
"25",25,2,2,3,3,2,2,2,3,6,6,5,4,2,3,4,5,4,0,3,5,19,21,26
"26",26,2,2,2,2,2,2,2,2,6,5,5,5,3,4,5,4,3,4,4,5,16,21,32
"27",27,3,3,3,3,3,3,3,2,5,6,6,6,4,6,6,6,5,4,6,6,23,23,43
"28",28,1,1,3,1,2,2,2,1,6,6,6,6,2,3,5,4,4,3,3,5,13,24,29
"29",29,2,1,1,1,1,1,1,1,4,4,3,2,2,2,2,3,3,2,0,2,9,13,16
"30",30,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,1,5,5,5,16,20,36
"31",31,2,2,2,2,1,1,2,2,5,6,6,6,3,4,6,6,2,3,6,6,14,23,36
"32",32,2,3,3,3,3,3,3,3,5,6,6,5,4,6,6,6,5,3,6,3,23,22,39
"33",33,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,24,24,48
"34",34,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,24,24,48
"35",35,1,2,1,1,2,2,1,2,4,4,4,4,2,3,4,4,3,2,4,4,12,16,26
"36",36,3,3,3,3,3,1,3,3,3,6,4,6,3,5,4,6,6,4,6,6,22,19,40
"37",37,2,2,2,2,2,2,1,2,6,6,6,6,4,5,6,6,6,4,5,6,15,24,42
"38",38,2,3,2,2,2,2,3,3,5,5,5,5,5,5,5,5,5,5,5,5,19,20,40
"39",39,2,2,1,3,1,2,1,1,4,4,4,4,4,3,4,3,3,4,3,4,13,16,28
"40",40,2,1,2,1,1,1,1,2,3,4,5,3,2,2,3,3,3,2,2,2,11,15,19
"41",41,3,3,3,3,3,3,3,3,6,5,6,6,6,5,6,6,5,6,6,6,24,23,46
